Arabic Root Word,ChapterNo,VerseNo,Actual Arabic Word
ق و ل,2,169,تَقُولُوا
ع ل ي,2,169,عَلَى
ا ل ه,2,169,اللَّهِ
م ا,2,169,مَا
ل ا,2,169,لَا
ع ل م,2,169,تَعْلَمُونَ
ا ذ ا,2,170,وَإِذَا
ق و ل,2,170,قِيلَ
ل,2,170,لَهُمُ
ت ب ع,2,170,اتَّبِعُوا
م ا,2,170,مَا
ن ز ل,2,170,أَنْزَلَ
ا ل ه,2,170,اللَّهُ
ق و ل,2,170,قَالُوا
ب ل,2,170,بَلْ
ت ب ع,2,170,نَتَّبِعُ
م ا,2,170,مَا
ل ف ي,2,170,أَلْفَيْنَا
ع ل ي,2,170,عَلَيْهِ
ا ب و,2,170,ءَابَاءَنَا
ل و,2,170,أَوَلَوْ
ك و ن,2,170,كَانَ
ا ب و,2,170,ءَابَاؤُهُمْ
ل ا,2,170,لَا
ع ق ل,2,170,يَعْقِلُونَ
ش ي ا,2,170,شَيْئًا
ل ا,2,170,وَلَا
ه د ي,2,170,يَهْتَدُونَ
م ث ل,2,171,وَمَثَلُ
ا ل ل ذ,2,171,الَّذِينَ
ك ف ر,2,171,كَفَرُوا
م ث ل,2,171,كَمَثَلِ
ا ل ل ذ,2,171,الَّذِي
ن ع ق,2,171,يَنْعِقُ
ب م ا,2,171,بِمَا
ل ا,2,171,لَا
س م ع,2,171,يَسْمَعُ
ا ل ل ا,2,171,إِلَّا
د ع و,2,171,دُعَاءً
ن د ي,2,171,وَنِدَاءً
ص م م,2,171,صُمٌّ
ب ك م,2,171,بُكْمٌ
ع م ي,2,171,عُمْيٌ
ه م,2,171,فَهُمْ
ل ا,2,171,لَا
ع ق ل,2,171,يَعْقِلُونَ
ا ي ي,2,172,يَاأَيُّهَا
ا ل ل ذ,2,172,الَّذِينَ
ا م ن,2,172,ءَامَنُوا
ا ك ل,2,172,كُلُوا
م ن,2,172,مِنْ
ط ي ب,2,172,طَيِّبَاتِ
م ا,2,172,مَا
ر ز ق,2,172,رَزَقْنَاكُمْ
ش ك ر,2,172,وَاشْكُرُوا
ا ل ه,2,172,لِلَّهِ
ا ن,2,172,إِنْ
ك و ن,2,172,كُنْتُمْ
ا ي ي,2,172,إِيَّاهُ
ع ب د,2,172,تَعْبُدُونَ
ا ن ن م,2,173,إِنَّمَا
ح ر م,2,173,حَرَّمَ
ع ل ي,2,173,عَلَيْكُمُ
م و ت,2,173,الْمَيْتَةَ
د م ي,2,173,وَالدَّمَ
ل ح م,2,173,وَلَحْمَ
خ ن ز ر,2,173,الْخِنْزِيرِ
م ا,2,173,وَمَا
ه ل ل,2,173,أُهِلَّ
ب,2,173,بِهِ
غ ي ر,2,173,لِغَيْرِ
ا ل ه,2,173,اللَّهِ
م ن,2,173,فَمَنِ
ض ر ر,2,173,اضْطُرَّ
غ ي ر,2,173,غَيْرَ
ب غ ي,2,173,بَاغٍ
ل ا,2,173,وَلَا
ع د و,2,173,عَادٍ
ل ا,2,173,فَلَا
ا ث م,2,173,إِثْمَ
ع ل ي,2,173,عَلَيْهِ
ا ن ن,2,173,إِنَّ
ا ل ه,2,173,اللَّهَ
غ ف ر,2,173,غَفُورٌ
ر ح م,2,173,رَحِيمٌ
ا ن ن,2,174,إِنَّ
ا ل ل ذ,2,174,الَّذِينَ
ك ت م,2,174,يَكْتُمُونَ
م ا,2,174,مَا
ن ز ل,2,174,أَنْزَلَ
ا ل ه,2,174,اللَّهُ
م ن,2,174,مِنَ
ك ت ب,2,174,الْكِتَابِ
ش ر ي,2,174,وَيَشْتَرُونَ
ب,2,174,بِهِ
ث م ن,2,174,ثَمَنًا
ق ل ل,2,174,قَلِيلًا
ا و ل ا,2,174,أُولَئِكَ
م ا,2,174,مَا
ا ك ل,2,174,يَأْكُلُونَ
ف ي,2,174,فِي
ب ط ن,2,174,بُطُونِهِمْ
ا ل ل ا,2,174,إِلَّا
ن و ر,2,174,النَّارَ
ل ا,2,174,وَلَا
ك ل م,2,174,يُكَلِّمُهُمُ
ا ل ه,2,174,اللَّهُ
ي و م,2,174,يَوْمَ
ق و م,2,174,الْقِيَامَةِ
ل ا,2,174,وَلَا
ز ك و,2,174,يُزَكِّيهِمْ
ل,2,174,وَلَهُمْ
ع ذ ب,2,174,عَذَابٌ
ا ل م,2,174,أَلِيمٌ
ا و ل ا,2,175,أُولَئِكَ
ا ل ل ذ,2,175,الَّذِينَ
ش ر ي,2,175,اشْتَرَوُا
ض ل ل,2,175,الضَّلَالَةَ
ه د ي,2,175,بِالْهُدَى
ع ذ ب,2,175,وَالْعَذَابَ
غ ف ر,2,175,بِالْمَغْفِرَةِ
م ا,2,175,فَمَا
ص ب ر,2,175,أَصْبَرَهُمْ
ع ل ي,2,175,عَلَى
ن و ر,2,175,النَّارِ
ذ ل ك,2,176,ذَلِكَ
ا ن ن,2,176,بِأَنَّ
ا ل ه,2,176,اللَّهَ
ن ز ل,2,176,نَزَّلَ
ك ت ب,2,176,الْكِتَابَ
ح ق ق,2,176,بِالْحَقِّ
ا ن ن,2,176,وَإِنَّ
ا ل ل ذ,2,176,الَّذِينَ
خ ل ف,2,176,اخْتَلَفُوا
ف ي,2,176,فِي
ك ت ب,2,176,الْكِتَابِ
ف ي,2,176,لَفِي
ش ق ق,2,176,شِقَاقٍ
ب ع د,2,176,بَعِيدٍ
ل ي س,2,177,لَيْسَ
ب ر ر,2,177,الْبِرَّ
ا ن,2,177,أَنْ
و ل ي,2,177,تُوَلُّوا
و ج ه,2,177,وُجُوهَكُمْ
ق ب ل,2,177,قِبَلَ
ش ر ق,2,177,الْمَشْرِقِ
غ ر ب,2,177,وَالْمَغْرِبِ
ل ك ن,2,177,وَلَكِنَّ
ب ر ر,2,177,الْبِرَّ
م ن,2,177,مَنْ
ا م ن,2,177,ءَامَنَ
ا ل ه,2,177,بِاللَّهِ
ي و م,2,177,وَالْيَوْمِ
ا خ ر,2,177,الْءَاخِرِ
م ل ك,2,177,وَالْمَلَائِكَةِ
ك ت ب,2,177,وَالْكِتَابِ
ن ب ا,2,177,وَالنَّبِيِّينَ
ا ت ي,2,177,وَءَاتَى
م و ل,2,177,الْمَالَ
ع ل ي,2,177,عَلَى
ح ب ب,2,177,حُبِّهِ
ذ و,2,177,ذَوِي
ق ر ب,2,177,الْقُرْبَى
ي ت م,2,177,وَالْيَتَامَى
س ك ن,2,177,وَالْمَسَاكِينَ
ب ن و,2,177,وَابْنَ
س ب ل,2,177,السَّبِيلِ
س ا ل,2,177,وَالسَّائِلِينَ
ف ي,2,177,وَفِي
ر ق ب,2,177,الرِّقَابِ
ق و م,2,177,وَأَقَامَ
ص ل و,2,177,الصَّلَوةَ
ا ت ي,2,177,وَءَاتَى
ز ك و,2,177,الزَّكَوةَ
و ف ي,2,177,وَالْمُوفُونَ
ع ه د,2,177,بِعَهْدِهِمْ
ا ذ ا,2,177,إِذَا
ع ه د,2,177,عَاهَدُوا
ص ب ر,2,177,وَالصَّابِرِينَ
ف ي,2,177,فِي
ب ا س,2,177,الْبَأْسَاءِ
ض ر ر,2,177,وَالضَّرَّاءِ
ح ي ن,2,177,وَحِينَ
ب ا س,2,177,الْبَأْسِ
ا و ل ا,2,177,أُولَئِكَ
ا ل ل ذ,2,177,الَّذِينَ
ص د ق,2,177,صَدَقُوا
ا و ل ا,2,177,وَأُولَئِكَ
ه م,2,177,هُمُ
و ق ي,2,177,الْمُتَّقُونَ
ا ي ي,2,178,يَاأَيُّهَا
ا ل ل ذ,2,178,الَّذِينَ
ا م ن,2,178,ءَامَنُوا
ك ت ب,2,178,كُتِبَ
ع ل ي,2,178,عَلَيْكُمُ
ق ص ص,2,178,الْقِصَاصُ
ف ي,2,178,فِي
ق ت ل,2,178,الْقَتْلَى
ح ر ر,2,178,الْحُرُّ
ح ر ر,2,178,بِالْحُرِّ
ع ب د,2,178,وَالْعَبْدُ
ع ب د,2,178,بِالْعَبْدِ
ا ن ث,2,178,وَالْأُنْثَى
ا ن ث,2,178,بِالْأُنْثَى
م ن,2,178,فَمَنْ
ع ف و,2,178,عُفِيَ
ل,2,178,لَهُ
م ن,2,178,مِنْ
ا خ و,2,178,أَخِيهِ
ش ي ا,2,178,شَيْءٌ
ت ب ع,2,178,فَاتِّبَاعٌ
ع ر ف,2,178,بِالْمَعْرُوفِ
ا د ي,2,178,وَأَدَاءٌ
ا ل ي,2,178,إِلَيْهِ
ح س ن,2,178,بِإِحْسَانٍ
ذ ل ك,2,178,ذَلِكَ
خ ف ف,2,178,تَخْفِيفٌ
م ن,2,178,مِنْ
ر ب ب,2,178,رَبِّكُمْ
ر ح م,2,178,وَرَحْمَةٌ
م ن,2,178,فَمَنِ
ع د و,2,178,اعْتَدَى
ب ع د,2,178,بَعْدَ
ذ ل ك,2,178,ذَلِكَ
ل,2,178,فَلَهُ
ع ذ ب,2,178,عَذَابٌ
ا ل م,2,178,أَلِيمٌ
ل,2,179,وَلَكُمْ
ف ي,2,179,فِي
ق ص ص,2,179,الْقِصَاصِ
ح ي ي,2,179,حَيَوةٌ
ا و ل,2,179,يَاأُولِي
ل ب ب,2,179,الْأَلْبَابِ
ل ع ل ل,2,179,لَعَلَّكُمْ
و ق ي,2,179,تَتَّقُونَ
ك ت ب,2,180,كُتِبَ
ع ل ي,2,180,عَلَيْكُمْ
ا ذ ا,2,180,إِذَا
ح ض ر,2,180,حَضَرَ
ا ح د,2,180,أَحَدَكُمُ
م و ت,2,180,الْمَوْتُ
ا ن,2,180,إِنْ
ت ر ك,2,180,تَرَكَ
خ ي ر,2,180,خَيْرًا
و ص ي,2,180,الْوَصِيَّةُ
و ل د,2,180,لِلْوَالِدَيْنِ
ق ر ب,2,180,وَالْأَقْرَبِينَ
ع ر ف,2,180,بِالْمَعْرُوفِ
ح ق ق,2,180,حَقًّا
ع ل ي,2,180,عَلَى
و ق ي,2,180,الْمُتَّقِينَ
م ن,2,181,فَمَنْ
ب د ل,2,181,بَدَّلَهُ
ب ع د,2,181,بَعْدَمَا
س م ع,2,181,سَمِعَهُ
ا ن ن م,2,181,فَإِنَّمَا
ا ث م,2,181,إِثْمُهُ
ع ل ي,2,181,عَلَى
ا ل ل ذ,2,181,الَّذِينَ
ب د ل,2,181,يُبَدِّلُونَهُ
ا ن ن,2,181,إِنَّ
ا ل ه,2,181,اللَّهَ
س م ع,2,181,سَمِيعٌ
ع ل م,2,181,عَلِيمٌ
م ن,2,182,فَمَنْ
خ و ف,2,182,خَافَ
م ن,2,182,مِنْ
و ص ي,2,182,مُوصٍ
ج ن ف,2,182,جَنَفًا
ا و,2,182,أَوْ
ا ث م,2,182,إِثْمًا
ص ل ح,2,182,فَأَصْلَحَ
ب ي ن,2,182,بَيْنَهُمْ
ل ا,2,182,فَلَا
ا ث م,2,182,إِثْمَ
ع ل ي,2,182,عَلَيْهِ
ا ن ن,2,182,إِنَّ
ا ل ه,2,182,اللَّهَ
غ ف ر,2,182,غَفُورٌ
ر ح م,2,182,رَحِيمٌ
ا ي ي,2,183,يَاأَيُّهَا
ا ل ل ذ,2,183,الَّذِينَ
ا م ن,2,183,ءَامَنُوا
ك ت ب,2,183,كُتِبَ
ع ل ي,2,183,عَلَيْكُمُ
ص و م,2,183,الصِّيَامُ
ك م ا,2,183,كَمَا
ك ت ب,2,183,كُتِبَ
ع ل ي,2,183,عَلَى
ا ل ل ذ,2,183,الَّذِينَ
م ن,2,183,مِنْ
ق ب ل,2,183,قَبْلِكُمْ
ل ع ل ل,2,183,لَعَلَّكُمْ
و ق ي,2,183,تَتَّقُونَ
ي و م,2,184,أَيَّامًا
ع د د,2,184,مَعْدُودَاتٍ
م ن,2,184,فَمَنْ
ك و ن,2,184,كَانَ
م ن,2,184,مِنْكُمْ
م ر ض,2,184,مَرِيضًا
ا و,2,184,أَوْ
ع ل ي,2,184,عَلَى
س ف ر,2,184,سَفَرٍ
ع د د,2,184,فَعِدَّةٌ
م ن,2,184,مِنْ
ي و م,2,184,أَيَّامٍ
ا خ ر,2,184,أُخَرَ
ع ل ي,2,184,وَعَلَى
ا ل ل ذ,2,184,الَّذِينَ
ط و ق,2,184,يُطِيقُونَهُ
ف د ي,2,184,فِدْيَةٌ
ط ع م,2,184,طَعَامُ
س ك ن,2,184,مِسْكِينٍ
م ن,2,184,فَمَنْ
ط و ع,2,184,تَطَوَّعَ
خ ي ر,2,184,خَيْرًا
ه و,2,184,فَهُوَ
خ ي ر,2,184,خَيْرٌ
ل,2,184,لَهُ
ا ن,2,184,وَأَنْ
ص و م,2,184,تَصُومُوا
خ ي ر,2,184,خَيْرٌ
ل,2,184,لَكُمْ
ا ن,2,184,إِنْ
ك و ن,2,184,كُنْتُمْ
ع ل م,2,184,تَعْلَمُونَ
ش ه ر,2,185,شَهْرُ
ر م ض,2,185,رَمَضَانَ
ا ل ل ذ,2,185,الَّذِي
ن ز ل,2,185,أُنْزِلَ
ف ي,2,185,فِيهِ
ق ر ا,2,185,الْقُرْءَانُ
ه د ي,2,185,هُدًى
ن و س,2,185,لِلنَّاسِ
ب ي ن,2,185,وَبَيِّنَاتٍ
م ن,2,185,مِنَ
ه د ي,2,185,الْهُدَى
ف ر ق,2,185,وَالْفُرْقَانِ
م ن,2,185,فَمَنْ
ش ه د,2,185,شَهِدَ
م ن,2,185,مِنْكُمُ
ش ه ر,2,185,الشَّهْرَ
ص و م,2,185,فَلْيَصُمْهُ
م ن,2,185,وَمَنْ
ك و ن,2,185,كَانَ
م ر ض,2,185,مَرِيضًا
ا و,2,185,أَوْ
ع ل ي,2,185,عَلَى
س ف ر,2,185,سَفَرٍ
ع د د,2,185,فَعِدَّةٌ
م ن,2,185,مِنْ
ي و م,2,185,أَيَّامٍ
ا خ ر,2,185,أُخَرَ
ر و د,2,185,يُرِيدُ
ا ل ه,2,185,اللَّهُ
ب,2,185,بِكُمُ
ي س ر,2,185,الْيُسْرَ
ل ا,2,185,وَلَا
ر و د,2,185,يُرِيدُ
ب,2,185,بِكُمُ
ع س ر,2,185,الْعُسْرَ
ك م ل,2,185,وَلِتُكْمِلُوا
ع د د,2,185,الْعِدَّةَ
ك ب ر,2,185,وَلِتُكَبِّرُوا
ا ل ه,2,185,اللَّهَ
ع ل ي,2,185,عَلَى
م ا,2,185,مَا
ه د ي,2,185,هَدَاكُمْ
ل ع ل ل,2,185,وَلَعَلَّكُمْ
ش ك ر,2,185,تَشْكُرُونَ
ا ذ ا,2,186,وَإِذَا
س ا ل,2,186,سَأَلَكَ
ع ب د,2,186,عِبَادِي
ع ن,2,186,عَنِّي
ا ن ن,2,186,فَإِنِّي
ق ر ب,2,186,قَرِيبٌ
ج و ب,2,186,أُجِيبُ
د ع و,2,186,دَعْوَةَ
د ع و,2,186,الدَّاعِ
ا ذ ا,2,186,إِذَا
د ع و,2,186,دَعَانِ
ج و ب,2,186,فَلْيَسْتَجِيبُوا
ل,2,186,لِي
ا م ن,2,186,وَلْيُؤْمِنُوا
ب,2,186,بِي
ل ع ل ل,2,186,لَعَلَّهُمْ
ر ش د,2,186,يَرْشُدُونَ
ح ل ل,2,187,أُحِلَّ
ل,2,187,لَكُمْ
ل ي ل,2,187,لَيْلَةَ
ص و م,2,187,الصِّيَامِ
ر ف ث,2,187,الرَّفَثُ
ا ل ي,2,187,إِلَى
ن س و,2,187,نِسَائِكُمْ
ه ن,2,187,هُنَّ
ل ب س,2,187,لِبَاسٌ
ل,2,187,لَكُمْ
ا ن ت م,2,187,وَأَنْتُمْ
ل ب س,2,187,لِبَاسٌ
ل,2,187,لَهُنَّ
ع ل م,2,187,عَلِمَ
ا ل ه,2,187,اللَّهُ
ا ن ن,2,187,أَنَّكُمْ
ك و ن,2,187,كُنْتُمْ
خ و ن,2,187,تَخْتَانُونَ
ن ف س,2,187,أَنْفُسَكُمْ
ت و ب,2,187,فَتَابَ
ع ل ي,2,187,عَلَيْكُمْ
ع ف و,2,187,وَعَفَا
ع ن,2,187,عَنْكُمْ
ا ي ن,2,187,فَالْءَانَ
ب ش ر,2,187,بَاشِرُوهُنَّ
ب غ ي,2,187,وَابْتَغُوا
م ا,2,187,مَا
ك ت ب,2,187,كَتَبَ
ا ل ه,2,187,اللَّهُ
ل,2,187,لَكُمْ
ا ك ل,2,187,وَكُلُوا
ش ر ب,2,187,وَاشْرَبُوا
ح ت ت ي,2,187,حَتَّى
ب ي ن,2,187,يَتَبَيَّنَ
ل,2,187,لَكُمُ
خ ي ط,2,187,الْخَيْطُ
ب ي ض,2,187,الْأَبْيَضُ
م ن,2,187,مِنَ
خ ي ط,2,187,الْخَيْطِ
س و د,2,187,الْأَسْوَدِ
م ن,2,187,مِنَ
ف ج ر,2,187,الْفَجْرِ
ث م م,2,187,ثُمَّ
ت م م,2,187,أَتِمُّوا
ص و م,2,187,الصِّيَامَ
ا ل ي,2,187,إِلَى
ل ي ل,2,187,اللَّيْلِ
ل ا,2,187,وَلَا
ب ش ر,2,187,تُبَاشِرُوهُنَّ
ا ن ت م,2,187,وَأَنْتُمْ
ع ك ف,2,187,عَاكِفُونَ
ف ي,2,187,فِي
س ج د,2,187,الْمَسَاجِدِ
ت ل ك,2,187,تِلْكَ
ح د د,2,187,حُدُودُ
ا ل ه,2,187,اللَّهِ
ل ا,2,187,فَلَا
ق ر ب,2,187,تَقْرَبُوهَا
ذ ل ك,2,187,كَذَلِكَ
ب ي ن,2,187,يُبَيِّنُ
ا ل ه,2,187,اللَّهُ
ا ي ا,2,187,ءَايَاتِهِ
ن و س,2,187,لِلنَّاسِ
ل ع ل ل,2,187,لَعَلَّهُمْ
و ق ي,2,187,يَتَّقُونَ
ل ا,2,188,وَلَا
ا ك ل,2,188,تَأْكُلُوا
م و ل,2,188,أَمْوَالَكُمْ
ب ي ن,2,188,بَيْنَكُمْ
ب ط ل,2,188,بِالْبَاطِلِ
د ل و,2,188,وَتُدْلُوا
ب,2,188,بِهَا
ا ل ي,2,188,إِلَى
ح ك م,2,188,الْحُكَّامِ
ا ك ل,2,188,لِتَأْكُلُوا
ف ر ق,2,188,فَرِيقًا
م ن,2,188,مِنْ
م و ل,2,188,أَمْوَالِ
ن و س,2,188,النَّاسِ
ا ث م,2,188,بِالْإِثْمِ
ا ن ت م,2,188,وَأَنْتُمْ
ع ل م,2,188,تَعْلَمُونَ
س ا ل,2,189,يَسْءَلُونَكَ
ع ن,2,189,عَنِ
ه ل ل,2,189,الْأَهِلَّةِ
ق و ل,2,189,قُلْ
ه ي,2,189,هِيَ
و ق ت,2,189,مَوَاقِيتُ
ن و س,2,189,لِلنَّاسِ
ح ج ج,2,189,وَالْحَجِّ
ل ي س,2,189,وَلَيْسَ
ب ر ر,2,189,الْبِرُّ
ا ن,2,189,بِأَنْ
ا ت ي,2,189,تَأْتُوا
ب ي ت,2,189,الْبُيُوتَ
م ن,2,189,مِنْ
ظ ه ر,2,189,ظُهُورِهَا
ل ك ن,2,189,وَلَكِنَّ
ب ر ر,2,189,الْبِرَّ
م ن,2,189,مَنِ
و ق ي,2,189,اتَّقَى
ا ت ي,2,189,وَأْتُوا
ب ي ت,2,189,الْبُيُوتَ
م ن,2,189,مِنْ
ب و ب,2,189,أَبْوَابِهَا
و ق ي,2,189,وَاتَّقُوا
ا ل ه,2,189,اللَّهَ
ل ع ل ل,2,189,لَعَلَّكُمْ
ف ل ح,2,189,تُفْلِحُونَ
ق ت ل,2,190,وَقَاتِلُوا
ف ي,2,190,فِي
س ب ل,2,190,سَبِيلِ
ا ل ه,2,190,اللَّهِ
ا ل ل ذ,2,190,الَّذِينَ
ق ت ل,2,190,يُقَاتِلُونَكُمْ
ل ا,2,190,وَلَا
ع د و,2,190,تَعْتَدُوا
ا ن ن,2,190,إِنَّ
ا ل ه,2,190,اللَّهَ
ل ا,2,190,لَا
ح ب ب,2,190,يُحِبُّ
ع د و,2,190,الْمُعْتَدِينَ
ق ت ل,2,191,وَاقْتُلُوهُمْ
ح ي ث,2,191,حَيْثُ
ث ق ف,2,191,ثَقِفْتُمُوهُمْ
خ ر ج,2,191,وَأَخْرِجُوهُمْ
م ن,2,191,مِنْ
ح ي ث,2,191,حَيْثُ
خ ر ج,2,191,أَخْرَجُوكُمْ
ف ت ن,2,191,وَالْفِتْنَةُ
ش د د,2,191,أَشَدُّ
م ن,2,191,مِنَ
ق ت ل,2,191,الْقَتْلِ
ل ا,2,191,وَلَا
ق ت ل,2,191,تُقَاتِلُوهُمْ
ع ن د,2,191,عِنْدَ
س ج د,2,191,الْمَسْجِدِ
ح ر م,2,191,الْحَرَامِ
ح ت ت ي,2,191,حَتَّى
ق ت ل,2,191,يُقَاتِلُوكُمْ
ف ي,2,191,فِيهِ
ا ن,2,191,فَإِنْ
ق ت ل,2,191,قَاتَلُوكُمْ
ق ت ل,2,191,فَاقْتُلُوهُمْ
ذ ل ك,2,191,كَذَلِكَ
ج ز ي,2,191,جَزَاءُ
ك ف ر,2,191,الْكَافِرِينَ
ا ن,2,192,فَإِنِ
ن ه ي,2,192,انْتَهَوْا
ا ن ن,2,192,فَإِنَّ
ا ل ه,2,192,اللَّهَ
غ ف ر,2,192,غَفُورٌ
ر ح م,2,192,رَحِيمٌ
ق ت ل,2,193,وَقَاتِلُوهُمْ
ح ت ت ي,2,193,حَتَّى
ل ا,2,193,لَا
ك و ن,2,193,تَكُونَ
ف ت ن,2,193,فِتْنَةٌ
ك و ن,2,193,وَيَكُونَ
د ي ن,2,193,الدِّينُ
ا ل ه,2,193,لِلَّهِ
ا ن,2,193,فَإِنِ
ن ه ي,2,193,انْتَهَوْا
ل ا,2,193,فَلَا
ع د و,2,193,عُدْوَانَ
ا ل ل ا,2,193,إِلَّا
ع ل ي,2,193,عَلَى
ظ ل م,2,193,الظَّالِمِينَ
ش ه ر,2,194,الشَّهْرُ
ح ر م,2,194,الْحَرَامُ
ش ه ر,2,194,بِالشَّهْرِ
ح ر م,2,194,الْحَرَامِ
ح ر م,2,194,وَالْحُرُمَاتُ
ق ص ص,2,194,قِصَاصٌ
م ن,2,194,فَمَنِ
ع د و,2,194,اعْتَدَى
ع ل ي,2,194,عَلَيْكُمْ
ع د و,2,194,فَاعْتَدُوا
ع ل ي,2,194,عَلَيْهِ
م ث ل,2,194,بِمِثْلِ
م ا,2,194,مَا
ع د و,2,194,اعْتَدَى
ع ل ي,2,194,عَلَيْكُمْ
و ق ي,2,194,وَاتَّقُوا
ا ل ه,2,194,اللَّهَ
ع ل م,2,194,وَاعْلَمُوا
ا ن ن,2,194,أَنَّ
ا ل ه,2,194,اللَّهَ
م ع,2,194,مَعَ
و ق ي,2,194,الْمُتَّقِينَ
ن ف ق,2,195,وَأَنْفِقُوا
ف ي,2,195,فِي
س ب ل,2,195,سَبِيلِ
ا ل ه,2,195,اللَّهِ
ل ا,2,195,وَلَا
ل ق ي,2,195,تُلْقُوا
ي د ي,2,195,بِأَيْدِيكُمْ
ا ل ي,2,195,إِلَى
ه ل ك,2,195,التَّهْلُكَةِ
ح س ن,2,195,وَأَحْسِنُوا
ا ن ن,2,195,إِنَّ
ا ل ه,2,195,اللَّهَ
ح ب ب,2,195,يُحِبُّ
ح س ن,2,195,الْمُحْسِنِينَ
ت م م,2,196,وَأَتِمُّوا
ح ج ج,2,196,الْحَجَّ
ع م ر,2,196,وَالْعُمْرَةَ
ا ل ه,2,196,لِلَّهِ
ا ن,2,196,فَإِنْ
ح ص ر,2,196,أُحْصِرْتُمْ
م ا,2,196,فَمَا
ي س ر,2,196,اسْتَيْسَرَ
م ن,2,196,مِنَ
ه د ي,2,196,الْهَدْيِ
ل ا,2,196,وَلَا
ح ل ق,2,196,تَحْلِقُوا
ر ا س,2,196,رُءُوسَكُمْ
ح ت ت ي,2,196,حَتَّى
ب ل غ,2,196,يَبْلُغَ
ه د ي,2,196,الْهَدْيُ
ح ل ل,2,196,مَحِلَّهُ
م ن,2,196,فَمَنْ
ك و ن,2,196,كَانَ
م ن,2,196,مِنْكُمْ
م ر ض,2,196,مَرِيضًا
ا و,2,196,أَوْ
ب,2,196,بِهِ
ا ذ ي,2,196,أَذًى
م ن,2,196,مِنْ
ر ا س,2,196,رَأْسِهِ
ف د ي,2,196,فَفِدْيَةٌ
م ن,2,196,مِنْ
ص و م,2,196,صِيَامٍ
ا و,2,196,أَوْ
ص د ق,2,196,صَدَقَةٍ
ا و,2,196,أَوْ
ن س ك,2,196,نُسُكٍ
ا ذ ا,2,196,فَإِذَا
ا م ن,2,196,أَمِنْتُمْ
م ن,2,196,فَمَنْ
م ت ع,2,196,تَمَتَّعَ
ع م ر,2,196,بِالْعُمْرَةِ
ا ل ي,2,196,إِلَى
ح ج ج,2,196,الْحَجِّ
م ا,2,196,فَمَا
ي س ر,2,196,اسْتَيْسَرَ
م ن,2,196,مِنَ
ه د ي,2,196,الْهَدْيِ
م ن,2,196,فَمَنْ
ل م,2,196,لَمْ
و ج د,2,196,يَجِدْ
ص و م,2,196,فَصِيَامُ
ث ل ث,2,196,ثَلَاثَةِ
ي و م,2,196,أَيَّامٍ
ف ي,2,196,فِي
ح ج ج,2,196,الْحَجِّ
س ب ع,2,196,وَسَبْعَةٍ
ا ذ ا,2,196,إِذَا
ر ج ع,2,196,رَجَعْتُمْ
ت ل ك,2,196,تِلْكَ
ع ش ر,2,196,عَشَرَةٌ
ك م ل,2,196,كَامِلَةٌ
ذ ل ك,2,196,ذَلِكَ
م ن,2,196,لِمَنْ
ل م,2,196,لَمْ
ك و ن,2,196,يَكُنْ
ا ه ل,2,196,أَهْلُهُ
ح ض ر,2,196,حَاضِرِي
س ج د,2,196,الْمَسْجِدِ
ح ر م,2,196,الْحَرَامِ
و ق ي,2,196,وَاتَّقُوا
ا ل ه,2,196,اللَّهَ
ع ل م,2,196,وَاعْلَمُوا
ا ن ن,2,196,أَنَّ
ا ل ه,2,196,اللَّهَ
ش د د,2,196,شَدِيدُ
ع ق ب,2,196,الْعِقَابِ
ح ج ج,2,197,الْحَجُّ
ش ه ر,2,197,أَشْهُرٌ
ع ل م,2,197,مَعْلُومَاتٌ
م ن,2,197,فَمَنْ
ف ر ض,2,197,فَرَضَ
ف ي,2,197,فِيهِنَّ
ح ج ج,2,197,الْحَجَّ
ل ا,2,197,فَلَا
ر ف ث,2,197,رَفَثَ
ل ا,2,197,وَلَا
ف س ق,2,197,فُسُوقَ
ل ا,2,197,وَلَا
ج د ل,2,197,جِدَالَ
ف ي,2,197,فِي
ح ج ج,2,197,الْحَجِّ
م ا,2,197,وَمَا
ف ع ل,2,197,تَفْعَلُوا
م ن,2,197,مِنْ
خ ي ر,2,197,خَيْرٍ
ع ل م,2,197,يَعْلَمْهُ
ا ل ه,2,197,اللَّهُ
ز و د,2,197,وَتَزَوَّدُوا
ا ن ن,2,197,فَإِنَّ
خ ي ر,2,197,خَيْرَ
ز و د,2,197,الزَّادِ
و ق ي,2,197,التَّقْوَى
و ق ي,2,197,وَاتَّقُونِ
ا و ل,2,197,يَاأُولِي
ل ب ب,2,197,الْأَلْبَابِ
ل ي س,2,198,لَيْسَ
ع ل ي,2,198,عَلَيْكُمْ
ج ن ح,2,198,جُنَاحٌ
ا ن,2,198,أَنْ
ب غ ي,2,198,تَبْتَغُوا
ف ض ل,2,198,فَضْلًا
م ن,2,198,مِنْ
ر ب ب,2,198,رَبِّكُمْ
ا ذ ا,2,198,فَإِذَا
ف ي ض,2,198,أَفَضْتُمْ
م ن,2,198,مِنْ
ع ر ف,2,198,عَرَفَاتٍ
ذ ك ر,2,198,فَاذْكُرُوا
ا ل ه,2,198,اللَّهَ
ع ن د,2,198,عِنْدَ
ش ع ر,2,198,الْمَشْعَرِ
ح ر م,2,198,الْحَرَامِ
ذ ك ر,2,198,وَاذْكُرُوهُ
ك م ا,2,198,كَمَا
ه د ي,2,198,هَدَاكُمْ
