Name,Surah,Ayat,Arabic,Translation1,Translation2,Translation3,Tafaseer1,Tafaseer2
The Believers,23,70,أَمْ يَقُولُونَ بِهِ جِنَّةٌ بَلْ جَآءَهُمْ بِٱلْحَقِّ وَأَكْثَرُهُمْ لِلْحَقِّ كَارِهُونَ,"Or do they say: ‘He (the Prophet) is (afflicted) with mania’? (Nay, not at all;) he has rather brought to them the truth, but most of them do not like the truth.","Or do they say, ’He is bedevilled’? Nay, he has brought them the truth, but most of them are averse from the truth.","Or say they: There is a madness in him ? Nay, but he bringeth them the Truth; and most of them are haters of the Truth.",Or do they say ‘There is a madness in him’? — this interrogative is meant as an affirmation of the truth of the Prophet’s sincerity and of the fact that messengers did come to past communities and of the fact that they do indeed recognise their Messenger to be truthful and trustworthy and of the fact that there is no madness in him. Nay bal is for transition he has brought them the truth namely the Qur’ān that comprises affirmations of the Oneness of God and the Laws of Islam; but most of them are averse to the truth.,"(Or say they) indeed they say: (There is a madness in him? Nay, but he bringeth them the Truth) Muhammad (pbuh) brought them the Qur'an, the profession of Allah's divine Oneness and the Message; (and most of them are haters) deniers (of the Truth) of the Qur'an."
The Mount,52,33,أَمْ يَقُولُونَ تَقَوَّلَهُ بَل لاَّ يُؤْمِنُونَ,Or do they say: ‘He (the Messenger) has invented it (the Qur’an) himself’? (No indeed;) rather they simply do not believe (in the truth).,"Or do they say, ’He has invented it?’ Nay, but they do not believe.","Or say they: He hath invented it ? Nay, but they will not believe!",Or do they say ‘He has improvised it?’ he has concocted the Qur’ān. He has not concocted it; Rather they do not believe out of arrogance. If they continue to say that he has concocted it,"(Or say they) indeed the disbelievers of Mecca say: (He hath invented it?) Muhammad lies and has invented the Qur'an. (Nay, but they will not believe) in Muhammad (pbuh) and the Qur'an as in Allah's pre-eternal knowledge!"
The Mount,52,30,أَمْ يَقُولُونَ شَاعِرٌ نَّتَرَبَّصُ بِهِ رَيْبَ ٱلْمَنُونِ,Do the disbelievers say: ‘(He is) a poet for whom we look forward to some temporal disasters’?,"Or do they say, ’He is a poet for whom we await Fate’s uncertainty’?","Or say they: (he is) a poet, (one) for whom we may expect the accident of time ?",Or am means bal do they say that he is ‘A poet for whom we may await the accidents of fate?’ the vicissitudes of time so that he will just die like other poets.,"(Or say they) in fact, the disbelievers of Mecca-Abu Jahl, al-Walid Ibn al-Mughirah and their hosts-say: ((he is) a poet) who invents things, ((one) for whom we may expect the accident of time) we wait to see him suffer the pangs of death?"
The Moon,54,44,أَمْ يَقُولُونَ نَحْنُ جَمِيعٌ مُّنتَصِرٌ,Or do these (disbelievers) say: ‘We are a strong party dominant (over the Prophet [blessings and peace be upon him])’?,"Or do they say, ’We are a congregation that shall be succoured?’",Or say they: We are a host victorious ?,Or do they the disbelievers of Quraysh say ‘We are a host that will be helped to victory’? against Muhammad (s)? When Abū Jahl on the day of Badr said ‘We are a host that will be helped to victory’ the following was revealed,(Or say they) i.e. the disbelievers of Mecca: (We are a host victorious) and immune from punishment?
The Mount,52,42,أَمْ يُرِيدُونَ كَيْداً فَٱلَّذِينَ كَفَرُواْ هُمُ ٱلْمَكِيدُونَ,Do they seek to deceive (you) by trickery? Those who disbelieve are being caught in their own trap.,"Or desire they to outwit? The unbelievers, they are the outwitted.","Or seek they to ensnare (the messenger) ? But those who disbelieve, they are the ensnared!",Or do they desire to outmanoeuvre? you and have you killed at the Assembly Council. But those who disbelieve they are the outmanoeuvred ones! the vanquished and the ones destroyed. God preserved him from them and then destroyed them at Badr.,"(Or seek they) indeed they seek (to ensnare (the messenger)) to kill you, O Muhammad? (But those who disbelieve) the disbelievers of Mecca: Abu Jahl and his host who planned to kill the Prophet (pbuh) (they are the ensnared!) they are the ones who will be killed on the Day of Badr!"
Smoke,44,5,أَمْراً مِّنْ عِنْدِنَآ إِنَّا كُنَّا مُرْسِلِينَ,"By Our command; surely, it is We Who send.","determined as a bidding from Us, (We are ever sending)",As a command from Our presence - Lo! We are ever sending -,As an ordinance a distinguishing from Us. Indeed We have been sending from your Lord messengers such as Muhammad (s) and those before him,"(As a command from Our presence) an exposition from Us: We explain to Gabriel, Michael, Seraphiel and the angel of death what they are entrusted with from year to year. (Lo! We are ever sending) messengers with Scriptures."
The Bee,16,21,أَمْواتٌ غَيْرُ أَحْيَآءٍ وَمَا يَشْعُرُونَ أَيَّانَ يُبْعَثُونَ,"(They) are non-living, inanimate objects which do not (even) sense when the people will be raised up.","dead, not alive; and are not aware when they shall be raised.","(They are) dead, not living. And they know not when they will be raised.",They are dead possessing no life amwātun ‘dead’ is a second predicate not living an emphasis and they the idols are not aware when is the time in which they shall be raised that is creatures so how can they be worshipped? For only the Creator the Living the Knower of the Unseen can be a God.,"((They are) dead) they are lifeless idols, (not living. And they know not when they) i.e. the idols (will be raised) from the graves and give account; it is also said that this means: the disbelievers do not know when they will give account for their deeds; and it is also said: the angels do not know when they will give account."
The Prostration,32,19,أَمَّا ٱلَّذِينَ آمَنُواْ وَعَمِلُواْ ٱلصَّالِحَاتِ فَلَهُمْ جَنَّاتُ ٱلْمَأْوَىٰ نُزُلاً بِمَا كَانُواْ يَعْمَلُونَ,"So those who believe and keep doing good deeds, for them are Gardens of eternal repose as an entertainment and honour (from their Lord) in reward for those (works) which they used to do.","As for those who believe, and do deeds of righteousness, there await them the Gardens of the Refuge, in hospitality for that they were doing.","But as for those who believe and do good works, for them are the Gardens of Retreat - a welcome (in reward) for what they used to do.",As for those who believe and perform righteous deeds for them shall be the Gardens of the Abode — a hospitality nuzul is what is prepared for a guest for what they used to do.,"Allah then explained the destination of both of them after they die, saying: (But as for those who believe) in Muhammad (pbuh) and in the Qur'an (and do good works) between them and their Lord, (for them are the Gardens of Retreat) as a reward for them in the Hereafter, (a welcome (in reward) for what they used to do) of good works in the life of this world."
The Cave,18,79,أَمَّا ٱلسَّفِينَةُ فَكَانَتْ لِمَسَاكِينَ يَعْمَلُونَ فِي ٱلْبَحْرِ فَأَرَدتُّ أَنْ أَعِيبَهَا وَكَانَ وَرَآءَهُم مَّلِكٌ يَأْخُذُ كُلَّ سَفِينَةٍ غَصْباً,"As for the boat, that belonged to some poor people who used to toil for wages on the river. So I decided to make it defective (because) a (cruel) king was (standing) ahead of them, snatching every (undamaged) boat by force (from the owners without any compensation).","As for the ship, it belonged to certain poor men, who toiled upon the sea; and I desired to damage it, for behind them there was a king who was seizing every ship by brutal force.","As for the ship, it belonged to poor people working on the river, and I wished to mar it, for there was a king behind them who is taking every ship by force.",As for the ship it belonged to poor people ten in number who earned a living on the sea with it leasing it to others as a way of gaining a living; and I wanted to make it defective for behind them whenever they returned — or meaning before them now — was a king a disbeliever seizing every ship that was usable by force ghasban is in the accusative as a verbal noun containing an explanation of the nature of such ‘seizure’.,"(As for the ship) in which I made a hole, (it belonged to poor people working on the river) transporting people across the river, (and I wished to mar it) I wished to damage it, (for there was a king) called Jalandi (behind them) ahead of them (who is taking every ship by force) and this is why I damaged it."
He Frowned,80,5,أَمَّا مَنِ ٱسْتَغْنَىٰ,"But the one who disregards (the Din [Religion)],","But the self-sufficient,","As for him who thinketh himself independent,",But as for the one who thinks himself self-sufficient through wealth,"(As for him who thinketh himself independent) of Allah, i.e. the three men mentioned above,"
The Ant,27,60,أَمَّنْ خَلَقَ ٱلسَّمَٰوَٰتِ وَٱلأَرْضَ وَأَنزَلَ لَكُمْ مِّنَ ٱلسَّمَآءِ مَآءً فَأَنبَتْنَا بِهِ حَدَآئِقَ ذَاتَ بَهْجَةٍ مَّا كَانَ لَكُمْ أَن تُنبِتُواْ شَجَرَهَا أَإِلَـٰهٌ مَّعَ ٱللَّهِ بَلْ هُمْ قَوْمٌ يَعْدِلُونَ,"Well, Who has created the heavens and the earth and poured down water for you from the atmosphere in the sky? Then with that (water), We brought forth fresh and beautiful gardens. It was not possible for you to grow plants in these (gardens). Is there any (other) God besides Allah? In fact, they are the people who are turning away (from the path of truth).","He who created the heavens and earth, and sent down for you out of heaven water; and We caused to grow therewith gardens full of loveliness whose trees you could never grow. Is there a god with God? Nay, but they are a people who assign to Him equals!","Is not He (best) Who created the heavens and the earth, and sendeth down for you water from the sky wherewith We cause to spring forth joyous orchards, whose trees it never hath been yours to cause to grow. Is there any God beside Allah ? Nay, but they are folk who ascribe equals (unto Him)!",Or He Who created the heavens and the earth and sends down for you water from the heaven whereby We cause to grow there is a shift here from third person to that of the first person plural splendid gardens hadā’iq is the plural of hadīqa which is an enclosed garden whose trees you could never cause to grow? because of you do not have the ability for it. Is there a god a-ilāhun here and in the seven instances in which it occurs read by pronouncing both hamzas or by not pronouncing the second inserting an alif between the two in both cases with God? who has helped Him in all of this? In other words there is no god with Him. Nay but they are a people who ascribe equals to Him who associate with God others.,"(Is not He (best) who created the heavens and the earth, and sendeth down for you water) rain (from the sky wherewith) by means of the rain (We cause to spring forth joyous) seemly (orchards) that which surrounds them of palm-trees and trees, (whose trees it never hath been yours to cause to grow) you never had the power to grow its trees. (Is there any God beside Allah) who has done this? (Nay, but they are folk who ascribe equals (unto Him)) they make the idols as equals to Him!"
The Sovereignty,67,20,أَمَّنْ هَـٰذَا ٱلَّذِي هُوَ جُندٌ لَّكُمْ يَنصُرُكُمْ مِّن دُونِ ٱلرَّحْمَـٰنِ إِنِ ٱلْكَافِرُونَ إِلاَّ فِي غُرُورٍ,"Well, is there anyone that can muster an army to help you against the Most Kind Lord? The disbelievers are merely (snared) in deception.","Or who is this that shall be a host for you to help you, apart from the All-merciful? The unbelievers are only in delusion.",Or who is he that will be an army unto you to help you instead of the Beneficent ? The disbelievers are in naught but illusion.,Or who am-man the subject is it hādhā its predicate that alladhī a substitution for hādhā ‘is it’ will be an army supporters for you lakum belongs to the relative clause of alladhī ‘that’ to help you yansurukum is an adjectival qualification of jundun ‘an army’ besides the Compassionate One? that is to say other than Him who is there that will be able to avert His chastisement from you in other words you have no helper. The disbelievers are in nothing but delusion Satan has deluded them into believing that the chastisement will not befall them.,(Or who is he that will be an army unto you to help you instead of the Beneficent) who helps you to avoid the chastisement of the Beneficent? (The disbelievers are in naught but illusion) they are in nothing but the falsehoods and illusion of the life of the world.
The Sovereignty,67,21,أَمَّنْ هَـٰذَا ٱلَّذِي يَرْزُقُكُمْ إِنْ أَمْسَكَ رِزْقَهُ بَل لَّجُّواْ فِي عُتُوٍّ وَنُفُورٍ,"Well, is there anyone that can provide you sustenance if (Allah) holds back His sustenance (from you)? In fact, they are adamantly fixed in rebellion and hatred (for truth).","Or who is this that shall provide for you if He withholds His provision? No, but they persist in disdain and aversion.","Or who is he that will provide for you if He should withhold His providence ? Nay, but they are set in pride and frowardness.",Or who is it that will provide for you if He the Compassionate One withholds His provision? that is to say if He withholds the rain from you the response to the conditional has been omitted but is indicated by what preceded it namely the statement to the effect ‘who will provide for you?’ and so the response would be you have no provider other than Him. Nay but they persist in disdain and aversion moving away further from the truth.,"(Or who is he that will provide for you) i.e. rain from the sky and vegetation in the earth (if He should withhold His providence) who would give you provision if He withholds His? (Nay, but they are set in pride) refusing to accept faith (and frowardness) remoteness from faith."
The Troops,39,9,أَمَّنْ هُوَ قَانِتٌ آنَآءَ ٱلَّيلِ سَاجِداً وَقَآئِماً يَحْذَرُ ٱلآخِرَةَ وَيَرْجُواْ رَحْمَةَ رَبِّهِ قُلْ هَلْ يَسْتَوِي ٱلَّذِينَ يَعْلَمُونَ وَٱلَّذِينَ لاَ يَعْلَمُونَ إِنَّمَا يَتَذَكَّرُ أُوْلُواْ ٱلأَلْبَابِ,"Well! (Is this polytheist better or) that (believer) who worships during the hours of the night standing and in prostration, lives in fear of the Hereafter and expects mercy from his Lord?’ Say: ‘Can those who have knowledge and those who do not be alike?’ So only the wise do receive the admonition.","Or is he who is obedient in the watches of the night, bowing himself and standing, he being afraid of the world to come and hoping for the mercy of his Lord . . ? Say: ’Are they equal -- those who know and those who know not?’ Only men possessed of minds remember.","Is he who payeth adoration in the watches of the night, prostrate and standing, bewaring of the Hereafter and hoping for the mercy of his Lord, (to be accounted equal with a disbeliever) ? Say (unto them, O Muhammad): Are those who know equal with those who know not ? But only men of understanding will pay heed.",Or is he who read softened a-man devotes himself in worship observing duties of obedience in the watches of the night during its hours prostrating and standing in prayer apprehensive of the eventuality of the Hereafter in other words fearing its chastisement and hoping for the mercy the Paradise of his Lord … ? like one who is disobedient through disbelief or otherwise? a variant reading has am-man pronouncing the hamza so that am has the sense of bal ‘rather’. Say ‘Are those who know equal with those who do not know?’ in other words they are not equal just as the person of knowledge is not equal to the ignorant one. Only people of pith possessors of intellect remember only they are admonished.,"(Is he who payeth adoration) is he who obeys Allah, i.e. the Prophet (pbuh) (in the watches of the night) in the hours of the night, (prostrate and standing) in prayer, (bewaring of the Hereafter) fearing the torment of the Hereafter (and hoping for the mercy of his Lord) and hoping for the Garden of his Lord, to be counted equal to Abu Jahl and his host? (Say) to them, O Muhammad: (Are those who know) Allah's divine Oneness and Allah's commands and prohibitions, i.e. Abu Bakr and his fellow believers (equal) in reward and acts of obedience (with those who know not) Allah's divine Oneness or Allah's commands and prohibitions, i.e. Abu Jahl and his host? (But only men of understanding) only those possessed of intellect among people (will pay heed) will take admonition from the similitudes of the Qur'an."
The Ant,27,61,أَمَّن جَعَلَ ٱلأَرْضَ قَرَاراً وَجَعَلَ خِلاَلَهَآ أَنْهَاراً وَجَعَلَ لَهَا رَوَاسِيَ وَجَعَلَ بَيْنَ ٱلْبَحْرَيْنِ حَاجِزاً أَإِلَـٰهٌ مَّعَ ٱلله بَلْ أَكْثَرُهُمْ لاَ يَعْلَمُونَ,"Or, Who made the earth a dwelling place and made rivers amid it and made for it huge mountains and put a barrier between the two seas (of salt and sweet waters)? Is there any (other) God besides Allah? But most of these (disbelievers) do not have knowledge.","He who made the earth a fixed place and set amidst it rivers and appointed for it firm mountains and placed a partition between the two seas. Is there a god with God? Nay, but the most of them have no knowledge.","Is not He (best) Who made the earth a fixed abode, and placed rivers in the folds thereof, and placed firm hills therein, and hath set a barrier between the two seas ? Is there any God beside Allah ? Nay, but most of them know not!",Or He Who made the earth an abode of stability that does not constantly shake beneath the feet of its inhabitants and made rivers to flow throughout it and set firm mountains for it with which He fixed the earth in place and set an isthmus between the two seas between the sweet one and the salty one the one not mixing with the other. Is there a god with God? Nay but most of them have no knowledge of His Oneness.,"(Is not He (best) Who made the earth a fixed abode, and placed rivers in the folds thereof) in the middle thereof, (and placed firm hills therein) on earth, (and hath set a barrier) preventing mixture (between the two seas) the sweet and salty seas? (Is there any God beside Allah) who has done this? (Nay, but most of them know not) most of them believe not!"
The Ant,27,64,أَمَّن يَبْدَؤُاْ ٱلْخَلْقَ ثُمَّ يُعيدُهُ وَمَن يَرْزُقُكُم مِّنَ ٱلسَّمَآءِ وٱلأَرْضِ أَإِلَـٰهٌ مَّعَ ٱللَّهِ قُلْ هَاتُواْ بُرْهَانَكُمْ إِن كُنتُمْ صَادِقِينَ,"Well, Who originates creation and shall repeat the same (process of creation), and Who grants you sustenance from the heavens and the earth? Is there any (other) God besides Allah? Say: ‘(O polytheists,) bring your proof if you are truthful.’","Who originates creation, then brings it back again, and provides you out of heaven and earth. Is there a god with God? Say: ’Produce your proof, if you speak truly.’","Is not He (best) Who produceth creation, then reproduceth it, and Who provideth for you from the heaven and the earth ? Is there any God beside Allah ? Say: Bring your proof, if ye are truthful!",Or He Who originates creation in the wombs from a sperm-drop then brings it back again after death as established by the proofs for this resurrection even if you do not acknowledge it; and Who provides for you from the heaven rain and from the earth vegetation. Is there a god with God? In other words none of the things mentioned is done by anyone other than God and there is no god with Him. Say O Muhammad (s) ‘Produce your proof your definitive argument if you are truthful’ about their being a god with Me who has done any of the things mentioned.,"(Is not He (best), Who produceth creation) He Who begins creation from a sperm drop, (then reproduceth it) after death, (and Who provideth for you from the heaven) through rain (and the earth) through vegetation? (Is there any God beside Allah) who has done this? (Say: Bring your proof, if ye are truthful) that there is any other god beside Allah!"
The Ant,27,63,أَمَّن يَهْدِيكُمْ فِي ظُلُمَاتِ ٱلْبَرِّ وَٱلْبَحْرِ وَمَن يُرْسِلُ ٱلرِّيَاحَ بُشْرَاً بَيْنَ يَدَيْ رَحْمَتِهِ أَإِلَـٰهٌ مَّعَ ٱللَّهِ تَعَالَى ٱللَّهُ عَمَّا يُشْرِكُونَ,"Or, Who guides you in the darkness of land and sea and sends winds as good news before (the rain of) His mercy? Is there any (other) God besides Allah? Exalted is Allah, High above (the false gods) which they associate with Him.","He who guides you in the shadows of the land and the sea and looses the winds, bearing good tidings before His mercy. Is there a god with God? High exalted be God, above that which they associate!","Is not He (best) Who guideth you in the darkness of the land and the sea, He Who sendeth the winds as heralds of His mercy ? Is there any God beside Allah ? High Exalted be Allah from all that they ascribe as partner (unto Him)!",Or He Who guides you shows you the way to your destinations in the darkness of the land and the sea by the stars at night and by the various landmarks during the day and Who sends forth the winds as harbingers of His mercy ahead of the rain. Is there a god with God? Exalted be God high above what others they associate with Him!,"(Is not He (best) Who guideth you) Who saves you (in the darkness of the land and the sea) from the turmoil of the land and the sea when you travel, (He Who sendeth the winds as heralds of His mercy) announcing the rain? (Is there any God beside Allah) who does this? (High exalted be Allah) Allah absolves Himself (from all that they ascribe as partner (unto Him)) of idols!"
The Ant,27,62,أَمَّن يُجِيبُ ٱلْمُضْطَرَّ إِذَا دَعَاهُ وَيَكْشِفُ ٱلسُّوۤءَ وَيَجْعَلُكُمْ خُلَفَآءَ ٱلأَرْضِ أَإِلَـٰهٌ مَّعَ ٱللَّهِ قَلِيلاً مَّا تَذَكَّرُونَ,"Or, Who grants the supplication of the anxiety-stricken caller when he calls upon Him, and Who removes the trouble and makes you successors and inheritors (of the predecessors) in the earth? Is there any (other) God besides Allah? You people accept advice but little.","He who answers the constrained, when he calls unto Him, and removes the evil and appoints you to be successors in the earth. Is there a god with God? Little indeed do you remember.","Is not He (best) Who answereth the wronged one when he crieth unto Him and removeth the evil, and hath made you viceroys of the earth ? Is there any God beside Allah ? Little do they reflect!",Or He Who answers the desperate one the anguished person suffering harm when he calls to Him and Who removes his distress from him and from others and makes you successors in the earth the annexation khulafā’a l-ardi ‘successors of the earth’ has the same meaning as fī ‘in’ khulafā’a fī’l-ardi ‘successors in the earth’ in other words each generation succeeding the one before it. Is there a god with God? Little do you remember little are you admonished read mā tadhakkarūna ‘do you remember’; or read yadhdhakkarūna ‘do they remember’ where in both cases the tā’ has been assimilated with the dhāl; the mā is extra used to make less what is already ‘little’.,"(Is not He (best) who answereth the wronged one) in his distress (when he crieth unto Him) to drive away his misfortune (and removeth the evil) by removing misfortunes, (and hath made you vicegerents of the earth) the dwellers of the earth after the destruction of its people? (Is there any God beside Allah) who did this? (Little do they reflect!) they derive no admonition at all from this."
The Thunder,13,17,أَنَزَلَ مِنَ ٱلسَّمَآءِ مَآءً فَسَالَتْ أَوْدِيَةٌ بِقَدَرِهَا فَٱحْتَمَلَ ٱلسَّيْلُ زَبَداً رَّابِياً وَمِمَّا يُوقِدُونَ عَلَيْهِ فِي ٱلنَّارِ ٱبْتِغَآءَ حِلْيَةٍ أَوْ مَتَاعٍ زَبَدٌ مِّثْلُهُ كَذٰلِكَ يَضْرِبُ ٱللَّهُ ٱلْحَقَّ وَٱلْبَاطِلَ فَأَمَّا ٱلزَّبَدُ فَيَذْهَبُ جُفَآءً وَأَمَّا مَا يَنفَعُ ٱلنَّاسَ فَيَمْكُثُ فِي ٱلأَرْضِ كَذٰلِكَ يَضْرِبُ ٱللَّهُ ٱلأَمْثَالَ,"He sends down water from the sky and the valleys flow according to their (respective) capacity. Then the floodwater carries the scum raised to the surface. And the items that are heated in the fire for making ornaments or other articles also have foam that comes up the same way. Thus Allah illustrates examples of the truth and falsehood. So, (whether produced by water or by fire,) the foam or scum passes away useless, but what is beneficial to the people endures in the earth. That is how Allah illustrates examples.","He sends down out of heaven water, and the wadis flow each in its measure, and the torrent carries a swelling scum; and out of that over which they kindle fire, being desirous of ornament or ware, out of that rises a scum the like of it. So God strikes both the true and the false. As for the scum, it vanishes as jetsam, and what profits men abides in the earth. Even so God strikes His similitudes.","He sendeth down water from the sky, so that valleys flow according to their measure, and the flood beareth (on its surface) swelling foam - from that which they smelt in the fire in order to make ornaments and tools riseth a foam like unto it - thus Allah coineth (the similitude of) the true and the false. Then, as for the foam, it passeth away as scum upon the banks, while, as for that which is of use to mankind, it remaineth in the earth. Thus Allah coineth the similitudes.",He then strikes a similitude of truth and falsehood saying He exalted be He sends down water rain from the sky whereat the valleys flow according to their measure according to their full capacity and the flood carries a scum that swells rising above it and this scum is the filth and the like that lies on the surface of the earth and from that which they smelt read tūqidūn ‘you smelt’ or yūqidūn ‘they smelt’ in the fire of the earth’s minerals such as gold silver or copper desiring seeking to make ornaments adornment or ware which is useful such as utensils when they the minerals are melted; there rises a scum the like of it that is the like of the scum of the flood and this latter scum consists of the impurities expelled by the bellows. Thus in the way mentioned God points out truth and falsehood that is He points out the similitude thereof. As for the scum of the flood and of the minerals smelted it passes away as dross useless refuse while that which is of use to mankind in the way of water and minerals lingers remains in the earth for a time likewise falsehood wanes and is eventually effaced even if it should prevail over the truth at certain times. Truth on the other hand is established and enduring. Thus in the way mentioned God strikes He makes clear similitudes.,"Allah then gave a simile of the Truth and falsehood, saying: (He sendeth down water from the sky) He says: He sent Gabriel with the Qur'an and explained therein the Truth and falsehood, (so that valleys flow according to their measure) so the illumined hearts bore the Truth in proportion of their size and light, (and the flood beareth) the darkened hearts bore ((on its surface) swelling foam) much falsehood due to their whims (from that which they felt in the Fire) this is another simile. He says: and of that which you cast in the fire of gold and silver contains adulteration just as the foam of the sea does have salt (in order to make ornaments) which you were. Allah says here: the Truth is like gold and silver which benefit people, and falsehood is like the impurities which are derived from the casting of gold and silver, which are of no benefit. Likewise falsehood benefits no one (and tools) ore and copper (riseth a foam like unto it) He says: these also have impurities, i.e. just as the foam of the sea. This is another simile. He says: the Truth is like ore and copper from which people benefit, just as people benefit from the Truth. And falsehood is like the impurities resulting from the casting of ore and copper, which are of no benefit, just as falsehood is of no benefit to anyone, (thus Allah coineth (the similitude of)) thus Allah explains (the true and the false. Then, as for the foam, it passeth away as scum upon the banks) it goes just as it comes: it is of no benefit to its owner, (while, as for that which is of use to mankind) pure water, gold, silver, ore and copper, (it remaineth in the earth) it is useful just as the Truth is. (Thus Allah coineth the similitudes) Allah explains the similes of the Truth and falsehood."
Saba,34,11,أَنِ ٱعْمَلْ سَابِغَاتٍ وَقَدِّرْ فِي ٱلسَّرْدِ وَٱعْمَلُواْ صَالِحاً إِنِّي بِمَا تَعْمَلُونَ بَصِيرٌ,"(And We commanded:) ‘Make wide and full-length coats of mail and care for the measure while joining (their) links (i.e., rings). And, (O family of Dawud [David],) continue doing pious deeds. I am minutely watching the works that you do.’","’Fashion wide coats of mail, and measure well the links. ’ -- And do ye righteousness, for surely I see the things you do.",Saying: Make thou long coats of mail and measure the links (thereof). And do ye right. Lo! I am Seer of what ye do.,And We said ‘Fashion from it long coats of mail — complete suits of armour which the person wearing it drags behind him along the ground — and measure well the links’ that is in the weaving of the coats the maker of these is called sarrād. In other words make them so that the rings thereof are arranged properly. And act O family of David together with him righteously. Indeed I am Seer of what you do and will requite you for it accordingly.,(Saying: Make thou long coats of mail and measure the links (thereof)) the measure of a nail such that it is neither bigger nor smaller than it. (And do ye right) sincerely to Him. (Lo! I am Seer) Aware (of what ye do) of good or evil.
Noah,71,3,أَنِ ٱعبُدُواْ ٱللَّهَ وَٱتَّقُوهُ وَأَطِيعُونِ,That you must worship Allah and fear Him and obey me.,"saying, ""Serve God, and fear Him, and obey you me,","(Bidding you): Serve Allah and keep your duty unto Him and obey me,",to tell you that you should worship God and fear Him and obey me,"((Bidding you): Serve Allah) declare Allah's divine Oneness (and keep your duty unto Him) fear Him and repent of disbelief and idolatry (and obey me) and follow my matter, religion and counsel and accept my advice to you,"
The Pen,68,22,أَنِ ٱغْدُواْ عَلَىٰ حَرْثِكُمْ إِن كُنتُمْ صَارِمِينَ,‘Leave early for your tilth if you want to pick the fruit.’,"’Come forth betimes upon your tillage, if you would pluck!’",Saying: Run unto your field if ye would pluck (the fruit).,saying ‘Go forth early to your tillage your produce ani’ghdū ‘alā harthikum constitutes an explication of the import of tanādaw ‘they called out to one another’; otherwise an relates to the verbal action to be understood as being bi-an if you are going to pluck’ if your intention is to pick the fruits the response to the conditional is indicated by what preceded it.,(Saying: Run unto your field if ye would pluck (the fruit)) before the needy ones come to know about it.
Tâ Hâ,20,39,أَنِ ٱقْذِفِيهِ فِي ٱلتَّابُوتِ فَٱقْذِفِيهِ فِي ٱلْيَمِّ فَلْيُلْقِهِ ٱلْيَمُّ بِٱلسَّاحِلِ يَأْخُذْهُ عَدُوٌّ لِّي وَعَدُوٌّ لَّهُ وَأَلْقَيْتُ عَلَيْكَ مَحَبَّةً مِّنِّي وَلِتُصْنَعَ عَلَىٰ عَيْنِيۤ,"To put him (Musa [Moses]) into a box and place that (box) into the river. Then the river will drift it to the bank. My enemy and his enemy will pick him up. And I cast on you from My presence a reflection of My (exceptional) love (i.e., We have made you so lovely and charismatic that whoever glances at you will be fascinated). And (this was done) so that you might be brought up before My eyes.","""Cast him into the ark, and cast him into the river, and let the river throw him up on the shore. An enemy of Mine and his shall take him."" And I loaded on thee love from Me, and to be formed in My sight,","Saying: Throw him into the ark, and throw it into the river, then the river shall throw it on to the bank, and there an enemy to Me and an enemy to him shall take him. And I endued thee with love from Me that thou mightest be trained according to My will,",“Cast him place him in the ark then cast him while in the ark into the river into the flow of the Nile and then the river shall throw him up onto the shore that is its bank the imperative here fa’l-yulqihi ‘let it throw him’ functions as a predicate; there an enemy of Mine and an enemy of his namely Pharaoh shall take him”. And after he took you I cast upon you love from Me that you may be loved by people; and indeed Pharaoh and all who saw you loved you; and that you might be reared under My eyes be nurtured under My guardianship and My protection of you.,"Saying: Throw him into the ark) put the baby in the ark, (and throw it into the river) and place the ark in the river, (then the river shall throw it on to the bank) of the river, (and there an enemy to Me) as concern Religion, i.e. Pharaoh (and an enemy to him) who intends to kill (shall take him) shall pick him up. (And I endued thee with love from Me) O Moses, such that whoever sees you loves you (that thou mightest be trained according to My will) whatever was done to you was under our very watch,"
Smoke,44,18,أَنْ أَدُّوۤاْ إِلَيَّ عِبَادَ ٱللَّهِ إِنِّي لَكُمْ رَسُولٌ أَمِينٌ,"(He said:) ‘Hand over to me the servants of Allah (the Children of Israel). Verily, I am a trusted Messenger for your guidance and leadership.","saying, ’Deliver to me God’s servants; I am for you a faithful Messenger,",Saying: Give up to me the slaves of Allah. Lo! I am a faithful messenger unto you.,saying ‘Give over to me what I summon you to in the way of faith that is manifest your faith to me O servants of God; indeed I am for you a messenger who is faithful’ in what he has been sent with,(Saying: Give up to me) send with me (the slaves of Allah) the Children of Israel. (Lo! I am a faithful messenger unto you) I am a messenger to you from Allah and I am faithful in conveying the message.
The Poets,26,17,أَنْ أَرْسِلْ مَعَنَا بَنِيۤ إِسْرَائِيلَ,(Our aim is that) you send the Children of Israel with us (setting them free).’,"so send forth with us the Children of Israel.""",(Saying): Let the Children of Israel go with us.,that you should let go forth with us to Syria the Children of Israel” ’. So they approached him and said to him that which has been mentioned.,((Saying): Let the Children of Israel go with Us) and do not torture them.
He Frowned,80,25,أَنَّا صَبَبْنَا ٱلْمَآءَ صَبّاً,"Indeed, We pour down water in torrents.","We poured out the rains abundantly,",How We pour water in showers,that We pour down water from the clouds plenteously;,"Allah then explained these different states, saying: (How We pour water) i.e. rain (in showers) upon the earth"
