Arabic Root Word,ChapterNo,VerseNo,Actual Arabic Word,
و ق ي,3,102,تُقٰتِهٖ,
ا خ و,3,103,اِخۡوَانًاۚ,
ا ل ف,3,103,فَاَلَّفَ,
ا ل ه,3,103,اللّٰهِ,
ا ل ه,3,103,اللّٰهِ,
ا ل ه,3,103,اللّٰهُ,
ا ي ي,3,103,اٰيٰتِهٖ,
إِذ,3,103,اِذۡ,
ب ي ن,3,103,يُبَيِّنُ,
ب ي ن,3,103,بَيۡنَ,
ج م ع,3,103,جَمِيۡعًا,
ح ب ل,3,103,بِحَبۡلِ,
ح ف ر,3,103,حُفۡرَةٍ,
ذ ك ر,3,103,وَاذۡكُرُوۡا,
ش ف و,3,103,شَفَا,
ص ب ح,3,103,فَاَصۡبَحۡتُمۡ,
ع د و,3,103,اَعۡدَآءً,
ع ص م,3,103,وَاعۡتَصِمُوۡا,
ف ر ق,3,103,تَفَرَّقُوۡا‌,
ق ل ب,3,103,قُلُوۡبِكُمۡ,
ك و ن,3,103,كُنۡتُمۡ,
ك و ن,3,103,وَكُنۡتُمۡ,
ن ع م,3,103,نِعۡمَتَ,
ن ع م,3,103,بِنِعۡمَتِهٖۤ,
ن ق ذ,3,103,فَاَنۡقَذَكُمۡ,
ن و ر,3,103,النَّارِ,
ه د ي,3,103,تَهۡتَدُوۡنَ‏,
إِلَىٰ,3,104,اِلَى,
خ ي ر,3,104,الۡخَيۡرِ,
د ع و,3,104,يَّدۡعُوۡنَ,
ع ر ف,3,104,بِالۡمَعۡرُوۡفِ,
ف ل ح,3,104,الۡمُفۡلِحُوۡنَ‏,
ك و ن,3,104,وَلۡتَكُنۡ,
ن ك ر,3,104,الۡمُنۡكَرِ‌ؕ,
ن ه ي,3,104,وَيَنۡهَوۡنَ,
ٱلَّذِى,3,105,كَالَّذِيۡنَ,
ب ع د,3,105,بَعۡدِ,
ب ي ن,3,105,الۡبَيِّنٰتُ‌ؕ,
ج ي ا,3,105,جَآءَهُمُ,
خ ل ف,3,105,وَاخۡتَلَفُوۡا,
ع ذ ب,3,105,عَذَابٌ,
ع ظ م,3,105,عَظِيۡمٌۙ‏,
ف ر ق,3,105,تَفَرَّقُوۡا,
ك و ن,3,105,تَكُوۡنُوۡا,
ٱلَّذِى,3,106,الَّذِيۡنَ,
ا م ن,3,106,اِيۡمَانِكُمۡ,
أَمَّا,3,106,فَاَمَّا,
ب ع د,3,106,بَعۡدَ,
ب ي ض,3,106,تَبۡيَضُّ,
س و د,3,106,وَّتَسۡوَدُّ,
س و د,3,106,اسۡوَدَّتۡ,
ع ذ ب,3,106,الۡعَذَابَ,
ك ف ر,3,106,اَكَفَرۡتُمۡ,
ك ف ر,3,106,تَكۡفُرُوۡنَ‏,
ك و ن,3,106,كُنۡتُمۡ,
و ج ه,3,106,وُجُوۡهٌ,
و ج ه,3,106,وُجُوۡهٌ ؕ,
و ج ه,3,106,وُجُوۡهُهُمۡ,
ي و م,3,106,يَّوۡمَ,
ٱلَّذِى,3,107,الَّذِيۡنَ,
ا ل ه,3,107,اللّٰهِ,
أَمَّا,3,107,وَاَمَّا,
ب ي ض,3,107,ابۡيَضَّتۡ,
خ ل د,3,107,خٰلِدُوۡنَ‏,
ر ح م,3,107,رَحۡمَةِ,
و ج ه,3,107,وُجُوۡهُهُمۡ,
ا ل ه,3,108,اللّٰهِ,
ا ل ه,3,108,اللّٰهُ,
ا ي ي,3,108,اٰيٰتُ,
ت ل و,3,108,نَـتۡلُوۡهَا,
ح ق ق,3,108,بِالۡحَـقِّ‌ؕ,
ر و د,3,108,يُرِيۡدُ,
ظ ل م,3,108,ظُلۡمًا,
ع ل م,3,108,لِّلۡعٰلَمِيۡنَ‏,
ا ر ض,3,109,الۡاَرۡضِ‌ؕ,
ا ل ه,3,109,وَلِلّٰهِ,
ا ل ه,3,109,اللّٰهِ,
إِلَىٰ,3,109,وَاِلَى,
ر ج ع,3,109,تُرۡجَعُ,
س م و,3,109,السَّمٰوٰتِ,
ا ل ه,3,110,بِاللّٰهِ‌ؕ,
ا م ن,3,110,الۡمُؤۡمِنُوۡنَ,
ا ه ل,3,110,اَهۡلُ,
خ ر ج,3,110,اُخۡرِجَتۡ,
خ ي ر,3,110,خَيۡرَ,
خ ي ر,3,110,خَيۡرًا,
ع ر ف,3,110,بِالۡمَعۡرُوۡفِ,
ف س ق,3,110,الۡفٰسِقُوۡنَ‏,
ك ت ب,3,110,الۡكِتٰبِ,
ك ث ر,3,110,وَاَكۡثَرُهُمُ,
ك و ن,3,110,كُنۡتُمۡ,
ك و ن,3,110,لَڪَانَ,
ن ك ر,3,110,الۡمُنۡكَرِ,
ن ه ي,3,110,وَتَنۡهَوۡنَ,
ن و س,3,110,لِلنَّاسِ,
ا ذ ي,3,111,اَذًى‌ؕ,
إِلَّا,3,111,اِلَّاۤ,
د ب ر,3,111,الۡاَدۡبَارَ,
ق ت ل,3,111,يُّقَاتِلُوۡكُمۡ,
ن ص ر,3,111,يُنۡصَرُوۡنَ‏,
و ل ي,3,111,يُوَلُّوۡكُمُ,
ا ل ه,3,112,اللّٰهِ,
ا ل ه,3,112,اللّٰهِ,
ا ل ه,3,112,اللّٰهِ,
ا ي ي,3,112,بِاٰيٰتِ,
إِلَّا,3,112,اِلَّا,
ب و ا,3,112,وَبَآءُوۡ,
ث ق ف,3,112,ثُقِفُوۡۤا,
ح ب ل,3,112,بِحَبۡلٍ,
ح ب ل,3,112,وَحَبۡلٍ,
ح ق ق,3,112,حَقٍّ‌ؕ,
ذ ل ل,3,112,الذِّلَّةُ,
س ك ن,3,112,الۡمَسۡكَنَةُ ؕ,
ع د و,3,112,يَعۡتَدُوۡنَ‏,
ع ص ي,3,112,عَصَوا,
غ ض ب,3,112,بِغَضَبٍ,
غ ي ر,3,112,بِغَيۡرِ,
ق ت ل,3,112,وَيَقۡتُلُوۡنَ,
ك ف ر,3,112,يَكۡفُرُوۡنَ,
ك و ن,3,112,كَانُوۡا,
ك و ن,3,112,وَّكَانُوۡا,
ن ب ا,3,112,الۡاَنۡۢبِيَآءَ,
ن و س,3,112,النَّاسِ,
ا ل ه,3,113,اللّٰهِ,
ا ن ي,3,113,اٰنَآءَ,
ا ه ل,3,113,اَهۡلِ,
ا ي ي,3,113,اٰيٰتِ,
ت ل و,3,113,يَّتۡلُوۡنَ,
س ج د,3,113,يَسۡجُدُوۡنَ‏,
س و ي,3,113,سَوَآءً‌ؕ,
ق و م,3,113,قَآٮِٕمَةٌ,
ك ت ب,3,113,الۡكِتٰبِ,
ل ي س,3,113,لَـيۡسُوۡا,
ل ي ل,3,113,الَّيۡلِ,
ا خ ر,3,114,الۡاٰخِرِ,
ا ل ه,3,114,بِاللّٰهِ,
خ ي ر,3,114,الۡخَيۡرٰتِ ؕ,
س ر ع,3,114,ویُسَارِعُوۡنَ,
ص ل ح,3,114,الصّٰلِحِيۡنَ‏,
ع ر ف,3,114,بِالۡمَعۡرُوۡفِ,
ن ك ر,3,114,الۡمُنۡكَرِ,
ن ه ي,3,114,وَيَنۡهَوۡنَ,
ي و م,3,114,وَالۡيَوۡمِ,
ا ل ه,3,115,وَاللّٰهُ,
خ ي ر,3,115,خَيۡرٍ,
ع ل م,3,115,عَلِيۡمٌۢ,
ف ع ل,3,115,يَفۡعَلُوۡا,
ك ف ر,3,115,يُّكۡفَرُوۡهُ‌ؕ,
و ق ي,3,115,بِالۡمُتَّقِيۡنَ‏,
ٱلَّذِى,3,116,الَّذِيۡنَ,
ا ل ه,3,116,اللّٰهِ,
خ ل د,3,116,خٰلِدُوۡنَ‏,
ش ي ا,3,116,شَيۡـًٔـا ؕ,
ص ح ب,3,116,اَصۡحٰبُ,
غ ن ي,3,116,تُغۡنِىَ,
ك ف ر,3,116,كَفَرُوۡا,
م و ل,3,116,اَمۡوَالُهُمۡ,
ن و ر,3,116,النَّارِ‌ۚ,
و ل د,3,116,اَوۡلَادُهُمۡ,
ا ل ه,3,117,اللّٰهُ,
ح ر ث,3,117,حَرۡثَ,
ح ي ي,3,117,الۡحَيٰوةِ,
د ن و,3,117,الدُّنۡيَا,
ر و ح,3,117,رِيۡحٍ,
ص ر ر,3,117,صِرٌّ,
ص و ب,3,117,اَصَابَتۡ,
ظ ل م,3,117,ظَلَمُوۡۤا,
ظ ل م,3,117,ظَلَمَهُمُ,
ظ ل م,3,117,يَظۡلِمُوۡنَ‏,
ق و م,3,117,قَوۡمٍ,
م ث ل,3,117,مَثَلُ,
م ث ل,3,117,كَمَثَلِ,
ن ف س,3,117,اَنۡفُسَهُمۡ,
ن ف س,3,117,اَنۡفُسَهُمۡ,
ن ف ق,3,117,يُنۡفِقُوۡنَ,
ه ل ك,3,117,فَاَهۡلَكَتۡهُ‌ؕ,
ٱلَّذِى,3,118,الَّذِيۡنَ,
ا خ ذ,3,118,تَتَّخِذُوۡا,
ا ي ي,3,118,الۡاٰيٰتِ‌,
ب د و,3,118,بَدَتِ,
ب ط ن,3,118,بِطَانَةً,
ب غ ض,3,118,الۡبَغۡضَآءُ,
ب ي ن,3,118,بَيَّنَّا,
خ ب ل,3,118,خَبَالًا ؕ,
خ ف ي,3,118,تُخۡفِىۡ,
د و ن,3,118,دُوۡنِكُمۡ,
ص د ر,3,118,صُدُوۡرُهُمۡ,
ع ق ل,3,118,تَعۡقِلُوۡنَ‏,
ع ن ت,3,118,عَنِتُّمۡ‌ۚ,
ف و ه,3,118,اَفۡوٰهِهِمۡ ۖۚ,
ك ب ر,3,118,اَكۡبَرُ‌ؕ,
ك و ن,3,118,كُنۡتُمۡ,
و د د,3,118,وَدُّوۡا,
ا ل ه,3,119,اللّٰهَ,
إِذَا,3,119,وَاِذَا,
إِذَا,3,119,وَاِذَا,
ح ب ب,3,119,تُحِبُّوۡنَهُمۡ,
ح ب ب,3,119,يُحِبُّوۡنَكُمۡ,
خ ل و,3,119,خَلَوۡا,
ص د ر,3,119,الصُّدُوۡرِ‏,
ع ض ض,3,119,عَضُّوۡا,
ع ل م,3,119,عَلِيۡمٌۢ,
غ ي ظ,3,119,الۡغَيۡظِ‌ؕ,
غ ي ظ,3,119,بِغَيۡظِكُمۡؕ‌,
ق و ل,3,119,قَالُوۡۤا,
ق و ل,3,119,قُلۡ,
ك ت ب,3,119,بِالۡكِتٰبِ,
ك ل ل,3,119,كُلِّهٖ‌ۚ,
ل ق ي,3,119,لَقُوۡكُمۡ,
م و ت,3,119,مُوۡتُوۡا,
ن م ل,3,119,الۡاَنَامِلَ,
ا ل ه,3,120,اللّٰهَ,
ح س ن,3,120,حَسَنَةٌ,
ح و ط,3,120,مُحِيۡطٌ‏,
س و ا,3,120,تَسُؤۡهُمۡ,
س و ا,3,120,سَيِّئَةٌ,
ش ي ا,3,120,شَيۡـٔـًا‌ؕ,
ص ب ر,3,120,تَصۡبِرُوۡا,
ص و ب,3,120,تُصِبۡكُمۡ,
ع م ل,3,120,يَعۡمَلُوۡنَ,
ف ر ح,3,120,يَّفۡرَحُوۡا,
ك ي د,3,120,كَيۡدُهُمۡ,
م س س,3,120,تَمۡسَسۡكُمۡ,
و ق ي,3,120,وَتَتَّقُوۡا,
ا ل ه,3,121,وَاللّٰهُ,
ا م ن,3,121,الۡمُؤۡمِنِيۡنَ,
ا ه ل,3,121,اَهۡلِكَ,
إِذ,3,121,وَاِذۡ,
ب و ا,3,121,تُبَوِّئُ,
س م ع,3,121,سَمِيۡعٌ,
ع ل م,3,121,عَلِيۡمٌۙ‏,
غ د و,3,121,غَدَوۡتَ,
ق ت ل,3,121,لِلۡقِتَالِ‌ؕ,
ق ع د,3,121,مَقَاعِدَ,
ا ل ه,3,122,وَاللّٰهُ,
ا ل ه,3,122,اللّٰهِ,
ا م ن,3,122,الۡمُؤۡمِنُوۡنَ‏,
إِذ,3,122,اِذۡ,
ط و ف,3,122,طَّآٮِٕفَتَانِ,
ف ش ل,3,122,تَفۡشَلَاۙ,
ه م م,3,122,هَمَّتۡ,
و ك ل,3,122,فَلۡيَتَوَكَّلِ,
و ل ي,3,122,وَلِيُّهُمَا‌ؕ,
ا ل ه,3,123,اللّٰهُ,
ا ل ه,3,123,اللّٰهَ,
ذ ل ل,3,123,اَذِلَّةٌ ۚ,
ش ك ر,3,123,تَشۡكُرُوۡنَ‏,
ن ص ر,3,123,نَصَرَكُمُ,
و ق ي,3,123,فَاتَّقُوۡا,
ا ل ف,3,124,اٰلَافٍ,
ا م ن,3,124,لِلۡمُؤۡمِنِيۡنَ,
إِذ,3,124,اِذۡ,
ث ل ث,3,124,بِثَلٰثَةِ,
ر ب ب,3,124,رَبُّكُمۡ,
ق و ل,3,124,تَقُوۡلُ,
ك ف ي,3,124,يَّكۡفِيَكُمۡ,
م د د,3,124,يُّمِدَّكُمۡ,
م ل ك,3,124,الۡمَلٰٓٮِٕكَةِ,
ن ز ل,3,124,مُنۡزَلِيۡنَؕ‏,
ا ت ي,3,125,وَيَاۡتُوۡكُمۡ,
ا ل ف,3,125,اٰلَافٍ,
خ م س,3,125,بِخَمۡسَةِ,
ر ب ب,3,125,رَبُّكُمۡ,
س و م,3,125,مُسَوِّمِيۡنَ‏,
ص ب ر,3,125,تَصۡبِرُوۡا,
ف و ر,3,125,فَوۡرِهِمۡ,
م د د,3,125,يُمۡدِدۡكُمۡ,
م ل ك,3,125,الۡمَلٰٓٮِٕكَةِ,
و ق ي,3,125,وَتَتَّقُوۡا,
ا ل ه,3,126,اللّٰهُ,
ا ل ه,3,126,اللّٰهِ,
إِلَّا,3,126,اِلَّا,
إِلَّا,3,126,اِلَّا,
ب ش ر,3,126,بُشۡرٰى,
ج ع ل,3,126,جَعَلَهُ,
ح ك م,3,126,الۡحَكِيۡمِۙ‏,
ط م ن,3,126,وَلِتَطۡمَٮِٕنَّ,
ع ز ز,3,126,الۡعَزِيۡزِ,
ع ن د,3,126,عِنۡدِ,
ق ل ب,3,126,قُلُوۡبُكُمۡ,
ن ص ر,3,126,النَّصۡرُ,
ٱلَّذِى,3,127,الَّذِيۡنَ,
خ ي ب,3,127,خَآٮِٕبِيۡنَ‏,
ط ر ف,3,127,طَرَفًا,
ق ط ع,3,127,لِيَقۡطَعَ,
ق ل ب,3,127,فَيَنۡقَلِبُوۡا,
ك ب ت,3,127,يَكۡبِتَهُمۡ,
ك ف ر,3,127,كَفَرُوۡۤا,
ت و ب,3,128,يَتُوۡبَ,
ش ي ا,3,128,شَىۡءٌ,
ظ ل م,3,128,ظٰلِمُوۡنَ‏,
ع ذ ب,3,128,يُعَذِّبَهُمۡ,
ل ي س,3,128,لَيۡسَ,
ا ر ض,3,129,الۡاَرۡضِ‌ؕ,
ا ل ه,3,129,وَلِلّٰهِ,
ا ل ه,3,129,وَاللّٰهُ,
ر ح م,3,129,رَّحِيۡمٌ‏,
س م و,3,129,السَّمٰوٰتِ,
ش ي ا,3,129,يَّشَآءُ,
ش ي ا,3,129,يَّشَآءُ‌ؕ,
ع ذ ب,3,129,وَيُعَذِّبُ,
غ ف ر,3,129,يَغۡفِرُ,
غ ف ر,3,129,غَفُوۡرٌ,
ٱلَّذِى,3,130,الَّذِيۡنَ,
ا ك ل,3,130,تَاۡكُلُوۡا,
ا ل ه,3,130,اللّٰهَ,
ا م ن,3,130,اٰمَنُوۡا,
ر ب و,3,130,الرِّبٰٓوا,
ف ل ح,3,130,تُفۡلِحُوۡنَ‌ۚ‏,
و ق ي,3,130,وَّاتَّقُوۡا,
ٱلَّذِى,3,131,الَّتِىۡۤ,
ع د د,3,131,اُعِدَّتۡ,
ك ف ر,3,131,لِلۡكٰفِرِيۡنَ‌ۚ‏,
ن و ر,3,131,النَّارَ,
و ق ي,3,131,وَاتَّقُوۡا,
ا ل ه,3,132,اللّٰهَ,
ر ح م,3,132,تُرۡحَمُوۡنَ‌ۚ‏,
ر س ل,3,132,وَالرَّسُوۡلَ,
ط و ع,3,132,وَاَطِيۡعُوۡا,
ا ر ض,3,133,وَالۡاَرۡضُۙ,
إِلَىٰ,3,133,اِلٰى,
ج ن ن,3,133,وَجَنَّةٍ,
ر ب ب,3,133,رَّبِّكُمۡ,
س ر ع,3,133,وَسَارِعُوۡۤا,
س م و,3,133,السَّمٰوٰتُ,
ع د د,3,133,اُعِدَّتۡ,
ع ر ض,3,133,عَرۡضُهَا,
غ ف ر,3,133,مَغۡفِرَةٍ,
و ق ي,3,133,لِلۡمُتَّقِيۡنَۙ‏,
ٱلَّذِى,3,134,الَّذِيۡنَ,
ا ل ه,3,134,وَاللّٰهُ,
ح ب ب,3,134,يُحِبُّ,
ح س ن,3,134,الۡمُحۡسِنِيۡنَ‌ۚ‏,
س ر ر,3,134,السَّرَّآءِ,
ع ف و,3,134,وَالۡعَافِيۡنَ,
غ ي ظ,3,134,الۡغَيۡظَ,
ك ظ م,3,134,وَالۡكٰظِمِيۡنَ,
ن ف ق,3,134,يُنۡفِقُوۡنَ,
ن و س,3,134,النَّاسِ‌ؕ,
ٱلَّذِى,3,135,وَالَّذِيۡنَ,
ا ل ه,3,135,اللّٰهَ,
ا ل ه,3,135,اللّٰهُ,
إِذَا,3,135,اِذَا,
إِلَّا,3,135,اِلَّا,
ذ ك ر,3,135,ذَكَرُوا,
ذ ن ب,3,135,لِذُنُوۡبِهِمۡ,
ذ ن ب,3,135,الذُّنُوۡبَ,
ص ر ر,3,135,يُصِرُّوۡا,
ظ ل م,3,135,ظَلَمُوۡۤا,
ع ل م,3,135,يَعۡلَمُوۡنَ‏,
غ ف ر,3,135,فَاسۡتَغۡفَرُوۡا,
غ ف ر,3,135,يَّغۡفِرُ,
ف ح ش,3,135,فَاحِشَةً,
ف ع ل,3,135,فَعَلُوۡا,
ف ع ل,3,135,فَعَلُوۡا,
ن ف س,3,135,اَنۡفُسَهُمۡ,
ت ح ت,3,136,تَحۡتِهَا,
ج ر ي,3,136,تَجۡرِىۡ,
ج ز ي,3,136,جَزَآؤُهُمۡ,
ج ن ن,3,136,وَجَنّٰتٌ,
خ ل د,3,136,خٰلِدِيۡنَ,
ر ب ب,3,136,رَّبِّهِمۡ,
ع م ل,3,136,الۡعٰمِلِيۡنَؕ‏,
غ ف ر,3,136,مَّغۡفِرَةٌ,
ن ع م,3,136,وَنِعۡمَ,
ن ه ر,3,136,الۡاَنۡهٰرُ,
ا ر ض,3,137,الۡاَرۡضِ,
خ ل و,3,137,خَلَتۡ,
س ن ن,3,137,سُنَنٌۙ,
س ي ر,3,137,فَسِيۡرُوۡا,
ع ق ب,3,137,عَاقِبَةُ,
ق ب ل,3,137,قَبۡلِكُمۡ,
ك ذ ب,3,137,الۡمُكَذِّبِيۡنَ‏,
ك و ن,3,137,كَانَ,
ك ي ف,3,137,كَيۡفَ,
ن ظ ر,3,137,فَانظُرُوۡا,
ب ي ن,3,138,بَيَانٌ,
ن و س,3,138,لِّلنَّاسِ,
ه د ي,3,138,وَهُدًى,
و ع ظ,3,138,وَّمَوۡعِظَةٌ,
و ق ي,3,138,لِّلۡمُتَّقِيۡنَ‏,
ا م ن,3,139,مُّؤۡمِنِيۡنَ‏,
ح ز ن,3,139,تَحۡزَنُوۡا,
ع ل و,3,139,الۡاَعۡلَوۡنَ,
ك و ن,3,139,كُنۡتُمۡ,
و ه ن,3,139,تَهِنُوۡا,
ٱلَّذِى,3,140,الَّذِيۡنَ,
ا خ ذ,3,140,وَيَتَّخِذَ,
ا ل ه,3,140,اللّٰهُ,
ا ل ه,3,140,وَاللّٰهُ,
ا م ن,3,140,اٰمَنُوۡا,
ب ي ن,3,140,بَيۡنَ,
ح ب ب,3,140,يُحِبُّ,
د و ل,3,140,نُدَاوِلُهَا,
ش ه د,3,140,شُهَدَآءَ‌ؕ,
ظ ل م,3,140,الظّٰلِمِيۡنَۙ‏,
ع ل م,3,140,وَلِيَعۡلَمَ,
ق ر ح,3,140,قَرۡحٌ,
ق ر ح,3,140,قَرۡحٌ,
ق و م,3,140,الۡقَوۡمَ,
م ث ل,3,140,مِّثۡلُهٗ‌ؕ,
م س س,3,140,يَّمۡسَسۡكُمۡ,
م س س,3,140,مَسَّ,
ن و س,3,140,النَّاسِۚ,
ي و م,3,140,الۡاَيَّامُ,
ٱلَّذِى,3,141,الَّذِيۡنَ,
ا ل ه,3,141,اللّٰهُ,
ا م ن,3,141,اٰمَنُوۡا,
ك ف ر,3,141,الۡكٰفِرِيۡنَ‏,
م ح ص,3,141,وَلِيُمَحِّصَ,
م ح ق,3,141,وَيَمۡحَقَ,
ٱلَّذِى,3,142,الَّذِيۡنَ,
ا ل ه,3,142,اللّٰهُ,
أَم,3,142,اَمۡ,
ج ن ن,3,142,الۡجَـنَّةَ,
ج ه د,3,142,جَاهَدُوا,
ح س ب,3,142,حَسِبۡتُمۡ,
د خ ل,3,142,تَدۡخُلُوۡا,
ص ب ر,3,142,الصّٰبِرِيۡنَ‏,
ع ل م,3,142,يَعۡلَمِ,
ع ل م,3,142,وَيَعۡلَمَ,
ر ا ي,3,143,رَاَيۡتُمُوۡهُ,
ق ب ل,3,143,قَبۡلِ,
ك و ن,3,143,كُنۡتُمۡ,
ل ق ي,3,143,تَلۡقَوۡهُ,
م ن ي,3,143,تَمَنَّوۡنَ,
م و ت,3,143,الۡمَوۡتَ,
ن ظ ر,3,143,تَنۡظُرُوۡنَ‏,
ا ل ه,3,144,اللّٰهَ,
ا ل ه,3,144,اللّٰهُ,
إِلَّا,3,144,اِلَّا,
ج ز ي,3,144,وَسَيَجۡزِىۡ,
خ ل و,3,144,خَلَتۡ,
ر س ل,3,144,رَسُوۡلٌ ۚ,
ر س ل,3,144,الرُّسُلُ‌ؕ,
ش ك ر,3,144,الشّٰكِرِيۡنَ‏,
ش ي ا,3,144,شَيۡـًٔـا‌ؕ,
ع ق ب,3,144,اَعۡقَابِكُمۡ‌ؕ,
ع ق ب,3,144,عَقِبَيۡهِ,
ق ب ل,3,144,قَبۡلِهِ,
ق ت ل,3,144,قُتِلَ,
ق ل ب,3,144,انْقَلَبۡتُمۡ,
ق ل ب,3,144,يَّنۡقَلِبۡ,
م و ت,3,144,مَّاتَ,
ا ج ل,3,145,مُّؤَجَّلًاؕ,
ا خ ر,3,145,الۡاٰخِرَةِ,
ا ذ ن,3,145,بِاِذۡنِ,
ا ل ه,3,145,اللّٰهِ,
إِلَّا,3,145,اِلَّا,
ث و ب,3,145,ثَوَابَ,
ث و ب,3,145,ثَوَابَ,
ج ز ي,3,145,وَسَنَجۡزِىۡ,
د ن و,3,145,الدُّنۡيَا,
ر و د,3,145,يُّرِدۡ,
ر و د,3,145,يُّرِدۡ,
ش ك ر,3,145,الشّٰكِرِيۡنَ‏,
ك ت ب,3,145,كِتٰبًا,
ك و ن,3,145,كَانَ,
م و ت,3,145,تَمُوۡتَ,
ن ف س,3,145,لِنَفۡسٍ,
ا ل ه,3,146,اللّٰهِ,
ا ل ه,3,146,وَاللّٰهُ,
ح ب ب,3,146,يُحِبُّ,
ر ب ب,3,146,رِبِّيُّوۡنَ,
س ب ل,3,146,سَبِيۡلِ,
ص ب ر,3,146,الصّٰبِرِيۡنَ‏,
ص و ب,3,146,اَصَابَهُمۡ,
ق ت ل,3,146,قٰتَلَ ۙ,
ك ث ر,3,146,كَثِيۡرٌ,
ك ي ن,3,146,اسۡتَكَانُوۡا‌ؕ,
ن ب ا,3,146,نَّبِىٍّ,
و ه ن,3,146,وَهَنُوۡا,
إِلَّا,3,147,اِلَّاۤ,
ث ب ت,3,147,وَثَبِّتۡ,
ذ ن ب,3,147,ذُنُوۡبَنَا,
ر ب ب,3,147,رَبَّنَا,
س ر ف,3,147,وَاِسۡرَافَنَا,
غ ف ر,3,147,اغۡفِرۡ,
ق د م,3,147,اَقۡدَامَنَا,
ق و ل,3,147,قَالُوۡا,
ق و ل,3,147,قَوۡلَهُمۡ,
ق و م,3,147,الۡقَوۡمِ,
ك ف ر,3,147,الۡكٰفِرِيۡنَ‏,
ك و ن,3,147,كَانَ,
ن ص ر,3,147,وَانصُرۡنَا,
ا خ ر,3,148,الۡاٰخِرَةِ‌ؕ,
ا ل ه,3,148,اللّٰهُ,
ا ل ه,3,148,وَاللّٰهُ,
ث و ب,3,148,ثَوَابَ,
ث و ب,3,148,ثَوَابِ,
ح ب ب,3,148,يُحِبُّ,
ح س ن,3,148,وَحُسۡنَ,
ح س ن,3,148,الۡمُحۡسِنِيۡنَ‏,
د ن و,3,148,الدُّنۡيَا,
ٱلَّذِى,3,149,الَّذِيۡنَ,
ٱلَّذِى,3,149,الَّذِيۡنَ,
ا م ن,3,149,اٰمَنُوۡۤا,
خ س ر,3,149,خٰسِرِيۡنَ‏,
ر د د,3,149,يَرُدُّوۡكُمۡ,
ط و ع,3,149,تُطِيۡعُوۡا,
ع ق ب,3,149,اَعۡقَابِكُمۡ,
ق ل ب,3,149,فَتَنۡقَلِبُوۡا,
ك ف ر,3,149,كَفَرُوۡا,
ا ل ه,3,150,اللّٰهُ,
خ ي ر,3,150,خَيۡرُ,
ن ص ر,3,150,النّٰصِرِيۡنَ‏,
و ل ي,3,150,مَوۡلٰٮكُمۡ‌ۚ,
ٱلَّذِى,3,151,الَّذِيۡنَ,
ا ل ه,3,151,بِاللّٰهِ,
ا و ي,3,151,وَّمَاۡوٰٮهُمُ,
ب ا س,3,151,وَبِئۡسَ,
ث و ي,3,151,مَثۡوَى,
ر ع ب,3,151,الرُّعۡبَ,
س ل ط,3,151,سُلۡطٰنًا‌‌ۚ,
ش ر ك,3,151,اَشۡرَكُوۡا,
ظ ل م,3,151,الظّٰلِمِيۡنَ‏,
ق ل ب,3,151,قُلُوۡبِ,
ك ف ر,3,151,كَفَرُوۡا,
ل ق ي,3,151,سَنُلۡقِىۡ,
ن ز ل,3,151,يُنَزِّلۡ,
ن و ر,3,151,النَّارُ‌ؕ,
ا خ ر,3,152,الۡاٰخِرَةَ ‌‌‌ۚ,
ا ذ ن,3,152,بِاِذۡنِهٖ‌ۚ,
ا ل ه,3,152,اللّٰهُ,
ا ل ه,3,152,وَاللّٰهُ,
ا م ن,3,152,الۡمُؤۡمِنِيۡنَ‏,
إِذ,3,152,اِذۡ,
إِذَا,3,152,اِذَا,
ب ع د,3,152,بَعۡدِ,
ب ل و,3,152,لِيَبۡتَلِيَكُمۡ‌ۚ,
ح ب ب,3,152,تُحِبُّوۡنَ‌ؕ,
ح س س,3,152,تَحُسُّوۡنَهُمۡ,
د ن و,3,152,الدُّنۡيَا,
ر ا ي,3,152,اَرٰٮكُمۡ,
ر و د,3,152,يُّرِيۡدُ,
ر و د,3,152,يُّرِيۡدُ,
ص د ق,3,152,صَدَقَكُمُ,
ص ر ف,3,152,صَرَفَكُمۡ,
ع ص ي,3,152,وَعَصَيۡتُمۡ,
ع ف و,3,152,عَفَا,
ف ش ل,3,152,فَشِلۡتُمۡ,
ف ض ل,3,152,فَضۡلٍ,
ن ز ع,3,152,وَتَنَازَعۡتُمۡ,
و ع د,3,152,وَعۡدَهٗۤ,
ا ح د,3,153,اَحَدٍ,
ا خ ر,3,153,اُخۡرٰٮكُمۡ,
ا ل ه,3,153,وَاللّٰهُ,
إِذ,3,153,اِذۡ,
ث و ب,3,153,فَاَثَابَكُمۡ,
ح ز ن,3,153,تَحۡزَنُوۡا,
خ ب ر,3,153,خَبِيۡرٌۢ,
د ع و,3,153,يَدۡعُوۡكُمۡ,
ر س ل,3,153,وَّالرَّسُوۡلُ,
ص ع د,3,153,تُصۡعِدُوۡنَ,
ص و ب,3,153,اَصَابَكُمۡ‌ؕ,
ع م ل,3,153,تَعۡمَلُوۡنَ‏,
غ م م,3,153,غَمًّاۢ,
غ م م,3,153,بِغَمٍّ,
ف و ت,3,153,فَاتَكُمۡ,
ل و ي,3,153,تَلۡوٗنَ,
ٱلَّذِى,3,154,الَّذِيۡنَ,
ا ل ه,3,154,بِاللّٰهِ,
